"id","zeeid","zipcode","type"
"974","1120","98270","POL"
"975","1120","98271","POL"
"976","1121","92806","POL"
"977","1121","92816","POL"
"978","1121","92821","POL"
"979","1121","92822","POL"
"980","1121","92857","POL"
"981","1121","92862","POL"
"982","1121","92863","POL"
"983","1121","92864","POL"
"984","1121","92865","POL"
"985","1121","92867","POL"
"986","1121","92811","POL"
"987","1121","92870","POL"
"988","1121","92871","POL"
"989","1121","92885","POL"
"990","1121","92886","POL"
"991","1126","06601","POL"
"992","1126","06602","POL"
"993","1126","06604","POL"
"994","1126","06605","POL"
"995","1126","06673","POL"
"996","1126","06699","POL"
"997","1126","06838","POL"
"998","1126","06851","POL"
"999","1126","06853","POL"
"1000","1126","06854","POL"
"1001","1126","06855","POL"
"1002","1126","06857","POL"
"1003","1126","06860","POL"
"1004","1126","06880","POL"
"1005","1126","06881","POL"
"1006","1126","06888","POL"
"1007","1126","06889","POL"
"1008","1126","06890","POL"
"1009","1126","06606","POL"
"1010","1126","06824","POL"
"1011","1126","06825","POL"
"1012","1127","17073","POL"
"1013","1127","17520","POL"
"1014","1127","17545","POL"
"1015","1127","17564","POL"
"1016","1127","17569","POL"
"1017","1127","17575","POL"
"1018","1127","17601","POL"
"1019","1127","17604","POL"
"1020","1127","17605","POL"
"1021","1127","17606","POL"
"1022","1127","17607","POL"
"1023","1127","17611","POL"
"1024","1127","17699","POL"
"1025","1127","19501","POL"
"1026","1127","19551","POL"
"1027","1127","19565","POL"
"1028","1127","19608","POL"
"1029","1127","17501","POL"
"1030","1127","17517","POL"
"1031","1127","17521","POL"
"1032","1127","17522","POL"
"1033","1127","17533","POL"
"1034","1127","17543","POL"
"1035","1127","17567","POL"
"1036","1127","17578","POL"
"1037","1129","28734","POL"
"1038","1129","28744","POL"
"1039","1129","28763","POL"
"1040","1129","28775","POL"
"1041","1129","28781","POL"
"1042","1129","28901","POL"
"1043","1129","28903","POL"
"1044","1129","28904","POL"
"1045","1129","28905","POL"
"1046","1129","28906","POL"
"1047","1129","28909","POL"
"1048","1129","30511","POL"
"1049","1129","30522","POL"
"1050","1129","30523","POL"
"1051","1129","30527","POL"
"1052","1129","30531","POL"
"1053","1129","30535","POL"
"1054","1129","30536","POL"
"1055","1129","30540","POL"
"1056","1129","30552","POL"
"1057","1129","30555","POL"
"1058","1129","30563","POL"
"1059","1129","30564","POL"
"1060","1129","30580","POL"
"1061","1129","28902","POL"
"1062","1129","30512","POL"
"1063","1129","30513","POL"
"1064","1129","30514","POL"
"1065","1129","30528","POL"
"1066","1129","30533","POL"
